titleType,primaryTitle,startYear,genres
tvEpisode,Night of the Blood Beast,1975,Horror
movie,Half Man and Half Beast,1975,Horror
movie,Wapper,1975,Horror
movie,Have a Nice Weekend,1975,Horror
tvEpisode,The Undead,1975,Horror
tvEpisode,Circus of Horrors,1975,Horror
tvEpisode,Horror House,1975,Horror
tvEpisode,The Incredible Two-Headed Transplant,1975,Horror
movie,Blood Beast of Monster Mountain,1975,Horror
movie,A Haunted Turkish Bathhouse,1975,Horror
tvMovie,Wide World Mystery: Halfway to Danger,1975,Horror
movie,Sangre montilla,1975,Horror
movie,Gwaed ar y Ser,1975,Horror
movie,The Witch,1975,Horror
movie,L'éventreur de Notre-Dame,1975,Horror
tvMovie,"Demon, Demon",1975,Horror
movie,The Inquisitor,1975,Horror
movie,The Astrologer,1975,Horror
movie,The Love Butcher,1975,Horror
tvEpisode,"Dagora, the Space Monster",1975,Horror
tvEpisode,Godzilla vs. the Smog Monster,1975,Horror
tvEpisode,Gorgo,1975,Horror
tvEpisode,The Wolfman,1975,Horror
tvEpisode,Attack of the Monsters,1975,Horror
tvEpisode,Destroy All Planets,1975,Horror
tvEpisode,Attack of the Mushroom People,1975,Horror
tvEpisode,The Brain Eaters & The Headless Ghost,1975,Horror
tvEpisode,The Creature's Revenge,1975,Horror
tvEpisode,Son of Godzilla,1975,Horror
tvEpisode,The Flesh Eaters,1975,Horror
movie,Night of the Devil's Bride,1975,Horror
movie,Night of the Seagulls,1975,Horror
movie,Kun pi,1975,Horror
tvEpisode,The Thing,1976,Horror
movie,Squirm,1976,Horror
movie,To the Devil a Daughter,1976,Horror
movie,Black Magic 2,1976,Horror
movie,The Demon Lover,1976,Horror
movie,Blood Stalkers,1976,Horror
movie,Devil's Kiss,1976,Horror
tvEpisode,The Angry Red Planet,1976,Horror
movie,Daigdig ng lagim,1976,Horror
movie,Crash!,1976,Horror
movie,The Devil's Men,1976,Horror
tvMovie,Look What's Happened to Rosemary's Baby,1976,Horror
movie,Werewolf Woman,1976,Horror
movie,Bloodlust,1976,Horror
tvEpisode,War of the Monsters,1976,Horror
tvEpisode,Godzilla vs. The Thing,1976,Horror
tvEpisode,10.000 Mäuse,1976,Horror
tvEpisode,Altes Gemäuer,1976,Horror
movie,Yin yang you qing tian,1976,Horror
tvEpisode,Liebste Luise,1976,Horror
movie,Gui tai,1976,Horror
movie,The Tiger Devil,1976,Horror
tvEpisode,Chamber of Horrors,1976,Horror
tvEpisode,Godzilla vs. the Smog Monster,1976,Horror
tvEpisode,"Yog, Monster from Space",1976,Horror
tvEpisode,Doctor Blood's Coffin,1976,Horror
tvEpisode,Dracula vs. Frankenstein,1976,Horror
tvEpisode,The Man with the X-Ray Eyes,1976,Horror
tvEpisode,Dr. Cyclops,1976,Horror
movie,Black Ghost,1976,Horror
movie,Tou tai ren,1976,Horror
tvEpisode,Attack of the Mushroom People,1976,Horror
tvEpisode,"Burn, Witch, Burn",1976,Horror
tvEpisode,Blood and Lace,1976,Horror
movie,Haunts,1976,Horror
movie,Meatcleaver Massacre,1976,Horror
tvEpisode,Dracula,1976,Horror
tvEpisode,Bride of Frankenstein,1976,Horror
tvEpisode,Der Traum vom Fliegen,1976,Horror
tvEpisode,Die Falken,1976,Horror
tvEpisode,Ein rätselhafter Abgang,1976,Horror
tvEpisode,Atragon,1976,Horror
tvEpisode,Phantom Planet,1976,Horror
tvEpisode,The Invisible Creature,1976,Horror
tvEpisode,Warning from Space,1976,Horror
tvEpisode,Destroy All Monsters,1976,Horror
tvEpisode,Der Ausbrecher,1976,Horror
tvEpisode,Frankenstein Conquers the World,1976,Horror
tvEpisode,King Kong,1976,Horror
tvSeries,Creature Feature,1976,Horror
tvEpisode,Dracula,1976,Horror
tvEpisode,Episode #8.1,1976,Horror
tvEpisode,Geisterstunde,1976,Horror
movie,Satan's Black Wedding,1976,Horror
movie,Shin kaidan shikiyoku gedô: O-Iwa no onryô Yotsuya kaidan,1976,Horror
tvMovie,The Haunting of Hewie Dowker,1976,Horror
movie,The Obsessed,1976,Horror
movie,Face of Darkness,1976,Horror
tvMovie,The Witches of Pendle,1976,Horror
movie,Zangyaku jokei-shi,1976,Horror
movie,Seven Women for Satan,1976,Horror
tvEpisode,"Die, Monster, Die!",1976,Horror
tvEpisode,"The Beast with 1,000,000 Eyes",1976,Horror
movie,"Langit, Lupa at Impiyerno (Pandemonium)",1976,Horror
tvEpisode,"Yog, Monster from Space",1976,Horror
tvEpisode,Day the World Ended,1976,Horror
tvEpisode,Dr. Orloff's Monster,1976,Horror
tvEpisode,"Majin, Monster of Terror",1976,Horror
tvEpisode,Attack of the Robots,1976,Horror
tvEpisode,The X from Outer Space,1976,Horror
tvEpisode,Two Faces of Dr. Jekyll,1976,Horror
tvEpisode,Space Monster,1976,Horror
tvMovie,Exit Dying,1976,Horror
movie,The Confessional,1976,Horror
tvEpisode,Mission Stardust,1976,Horror
tvEpisode,Reiner Zufall,1976,Horror
tvEpisode,Spurlos verschwunden,1976,Horror
